Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-kudi,branch-kc99,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Context,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: colour_blindness,Store: particpant_age
1,1770200208282,04/02/2026 10:16:48,1770200208282,0,04/02/2026 10:16:48,249847,7,questionnaire-524p,,52345302,BLINDED,15036994,,complete,,,mobile,Apple iPhone,iOS 18.7,Mobile Safari 18.7.2,393x852,393x663,,,0,2. Demographics,5,Colour - no,age_over,,,,,info,,BEGIN,,,,,,,,
8,1770200215770,04/02/2026 10:16:55,1770200215770,0,04/02/2026 10:16:55,249847,7,questionnaire-524p,,52345302,BLINDED,15036994,,complete,,,mobile,Apple iPhone,iOS 18.7,Mobile Safari 18.7.2,393x852,393x663,,,0,2. Demographics,5,Colour - no,age_over,Page 1,l3fife,1,What is your age in years?,response,value,30,,,,Age,1,object-2,No,30
9,1770200215770,04/02/2026 10:16:55,1770200215770,0,04/02/2026 10:16:55,249847,7,questionnaire-524p,,52345302,BLINDED,15036994,,complete,,,mobile,Apple iPhone,iOS 18.7,Mobile Safari 18.7.2,393x852,393x663,,,0,2. Demographics,5,Colour - no,age_over,Page 1,l3fife,1,What gender do you identify with?,response,value,Female,,,Male|Female|Non-binary|Prefer not to say,Gender,2,object-3,No,30
10,1770200215770,04/02/2026 10:16:55,1770200215770,0,04/02/2026 10:16:55,249847,7,questionnaire-524p,,52345302,BLINDED,15036994,,complete,,,mobile,Apple iPhone,iOS 18.7,Mobile Safari 18.7.2,393x852,393x663,,,0,2. Demographics,5,Colour - no,age_over,Page 1,l3fife,1,What gender do you identify with?,response,quantised,2,,,Male|Female|Non-binary|Prefer not to say,Gender,2,object-3,No,30
11,1770200215770,04/02/2026 10:16:55,1770200215770,0,04/02/2026 10:16:55,249847,7,questionnaire-524p,,52345302,BLINDED,15036994,,complete,,,mobile,Apple iPhone,iOS 18.7,Mobile Safari 18.7.2,393x852,393x663,,,0,2. Demographics,5,Colour - no,age_over,Page 1,l3fife,1,"Are you diagnosed or do you believe that you suffer from a form of Colour blindness? (Protanopia, Tritanopia etc.)
# If your answer is 'Yes' you will be excluded from the study.",response,value,No,,,Yes|No,colour_blindness,3,object-4,No,30
12,1770200215770,04/02/2026 10:16:55,1770200215770,0,04/02/2026 10:16:55,249847,7,questionnaire-524p,,52345302,BLINDED,15036994,,complete,,,mobile,Apple iPhone,iOS 18.7,Mobile Safari 18.7.2,393x852,393x663,,,0,2. Demographics,5,Colour - no,age_over,Page 1,l3fife,1,"Are you diagnosed or do you believe that you suffer from a form of Colour blindness? (Protanopia, Tritanopia etc.)
# If your answer is 'Yes' you will be excluded from the study.",response,quantised,2,,,Yes|No,colour_blindness,3,object-4,No,30
13,1770200215770,04/02/2026 10:16:55,1770200215770,0,04/02/2026 10:16:55,249847,7,questionnaire-524p,,52345302,BLINDED,15036994,,complete,,,mobile,Apple iPhone,iOS 18.7,Mobile Safari 18.7.2,393x852,393x663,,,0,2. Demographics,5,Colour - no,age_over,,,,,info,,END,,7457,,,,,,
1,1770200416131,04/02/2026 10:20:16,1770200416131,0,04/02/2026 10:20:16,249847,7,questionnaire-524p,,52345468,BLINDED,15037047,,complete,,,mobile,undefined K,Android 10,Chrome 144.0.0.0,360x780,360x645,,,0,2. Demographics,5,Colour - no,age_over,,,,,info,,BEGIN,,,,,,,,
8,1770200428886,04/02/2026 10:20:28,1770200428886,0,04/02/2026 10:20:28,249847,7,questionnaire-524p,,52345468,BLINDED,15037047,,complete,,,mobile,undefined K,Android 10,Chrome 144.0.0.0,360x780,360x645,,,0,2. Demographics,5,Colour - no,age_over,Page 1,l3fife,1,What is your age in years?,response,value,20,,,,Age,1,object-2,No,20
9,1770200428886,04/02/2026 10:20:28,1770200428886,0,04/02/2026 10:20:28,249847,7,questionnaire-524p,,52345468,BLINDED,15037047,,complete,,,mobile,undefined K,Android 10,Chrome 144.0.0.0,360x780,360x645,,,0,2. Demographics,5,Colour - no,age_over,Page 1,l3fife,1,What gender do you identify with?,response,value,Female,,,Male|Female|Non-binary|Prefer not to say,Gender,2,object-3,No,20
